Type,Title,Song
M,Enter Sandman,"Say your prayers, little one Don't forget, my son To include everyone  I tuck you in, warm within Keep you free from sin Till the Sandman he comes  Sleep with one eye open Gripping your pillow tight  Exit light Enter night Take my hand We're off to Never¡ª, Neverland  Something's wrong, shut the light Heavy thoughts tonight And they aren't of Snow White  Dreams of war, dreams of liars Dreams of dragon's fire And of things that will bite  Sleep with one eye open Gripping your pillow tight  Exit light Enter night Take my hand We're off to Never¡ª, Neverland  Now I lay me down to sleep Pray the Lord my soul to keep If I die before I wake Pray the Lord my soul to take  Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your head  Exit light Enter night Grain of sand  Exit light Enter night Take my hand We're off to Never¡ª, Neverland  We're off to Never¡ª, Neverland Take my hand We're off to Never¡ª, Neverland Take my hand We're off to Never¡ª, Neverland We're off to Never¡ª, Neverland We're off to Never¡ª, Neverland We're off to Never¡ª, Neverland"
M,Escape,"Feel no pain, but my life ain't easy I know I'm my best friend No one cares, but I'm so much stronger I'll fight until the end  To escape from the true false world Undamaged destiny Can't get caught in the endless circle Ring of stupidity  Out for my own, out to be free One with my mind, they just can't see No need to hear things that they say Life's for my own, to live my own way  Rape my mind and destroy my feelings Don't tell me what to do I don't care now 'cause I'm on my side And I can see through you  Feed my brain with your so-called standards Who says that I ain't right? Break away from your common fashion See through your blurry sight  Out for my own, out to be free One with my mind, they just can't see No need to hear things that they say Life's for my own, to live my own way  See them try to bring the hammer down No damn chains can hold me to the ground  Life's for my own, to live my own way Life's for my own, to live my own way Life's for my own, to live my own way Life's for my own, to live my own way Life's for my own, to live my own way Life's for my own, to live my own way"
M,Eye of the Beholder,"Do you see what I see? Truth is an offence Your silence for your confidence  Do you hear what I hear? Doors are slamming shut Limit your imagination, keep you where they must  Do you feel what I feel? Bittering distress Who decides what you express?  Do you take what I take? Endurance is the word Moving back instead of forward seems to me absurd  Doesn¡¯t matter what you see Or into it what you read You can do it your own way If it¡¯s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom with their exception  Do you fear what I fear? Living properly Truths to you are lies to me  Do you choose what I choose? More alternatives Energy derives from both the plus and negative  Do you need what I need? Boundaries overthrown Look inside, to each his own  Do you trust what I trust? Me, myself and I Penetrate the smoke screen, I see through the selfish lie  Doesn¡¯t matter what you see Or into it what you read You can do it your own way If it¡¯s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom with their exception  Do you know what I know? Your money and your wealth Your silence just to hear yourself  Do you want what I want? Desire not a thing I hunger after independence, lengthen freedom¡¯s ring  Doesn¡¯t matter what you see Or into it what you read You can do it your own way If it¡¯s done just how I say  Independence limited Freedom of choice Choice is made for you, my friend Freedom of speech Speech is words that they will bend Freedom no longer frees you Doesn¡¯t matter what you see Or into it what you read You can do it your own way If it¡¯s done just how I say"
M,Fade to Black,"Life, it seems, will fade away Drifting further every day Getting lost within myself Nothing matters, no one else  I have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me free  Things not what they used to be Missing one inside of me Deathly lost, this can't be real Cannot stand this hell I feel  Emptiness is filling me To the point of agony Growing darkness taking dawn I was me, but now he's gone  No one but me can save myself, but it's too late Now I can't think, think why I should even try  Yesterday seems as though it never existed Death greets me warm, now I will just say goodbye Goodbye"
M,Fight Fire with Fire,"Do unto others as they've done to you But what the hell is this world coming to?  Blow the universe into nothingness Nuclear warfare shall lay us to rest  Fight fire with fire Ending is near Fight fire with fire Bursting with fear We all shall die  Time is like a fuse, short and burning fast Armageddon's here, like said in the past  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Soon to fill our lungs, the hot winds of death The gods are laughing, so take your last breath  Fight fire with fire Ending is near Fight fire with fire Bursting with fear  Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight fire with fire Fight"
M,Fixxxer,"Dolls of voodoo all stuck with pins One for each of us and our sins So you lay us in a line Push your pins, they make us humble Only you can tell in time If we fall or merely stumble  But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  Mirror, mirror upon thy wall Break the spell or become the doll See you sharpening the pins So the holes will remind us We're just the toys in the hands of another And in time the needles turn from shine to rust  But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  Jab it Here come the pins  Blood for face Sweat for dirt Three X's for the stone To break this curse A ritual's due I believe I'm not alone Shell of shotgun Pint of gin Numb us up to shield the pins Renew our faith Which way we can To fall in love with life again To fall in love with life again To fall in love with life again To fall in love To fall in love To fall in love with life again  So tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again?  Tell me Can you heal what father's done? Or cut this rope and let us run? Just when all seems fine And I'm pain free You jab another pin Jab another pin in me  No more pins in me No more, no more pins in me No more, no more pins in me No more, no more, no more No, no, no"
M,For Whom the Bell Tolls,"Make his fight on the hill in the early day Constant chill deep inside Shouting gun, on they run through the endless grey On they fight, for they're right, yes, but who's to say? For a hill, men would kill, why? They do not know Stiffened wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain that they surely know  For whom the bell tolls Time marches on For whom the bell tolls  Take a look to the sky just before you die It's the last time you will Blackened roar, massive roar, fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now, are his eyes, to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be, blinded eyes to see  For whom the bell tolls Time marches on For whom the bell tolls"
M,The Four Horsemen,By the last breath of the fourth winds blow Better raise your ears The sound of hooves knock at your door Lock up your wife and children now It's time to wield the blade For now you have got some company  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die  You have been dying since the day you were born You know it has all been planned The quartet of deliverance rides A sinner once a sinner twice No need for confessions now Cause now you have got the fight of your life  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die  Time Has taken its toll on you The lines that crack your face Famine Your body it has torn through Withered in every place Pestilence For what you have had to endure And what you have put others through Death Deliverance for you for sure Now there is nothing you can do  So gather round young warriors now And saddle up your steeds Killing scores with demon swords Now is the death of doers of wrong Swing the judgement hammer down Safely inside armor blood guts and sweat  The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With the Four Horsemen ride Or choose your fate and die
M,Frantic,"If I could have my wasted days back Would I use them to get back on track? Stop to warm at Karma's burning Or look ahead, but keep on turning?  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Could I have my wasted days back Would I use them to get back on track?  You live it or lie it! You live it or lie it!  My lifestyle determines my death style My lifestyle determines my death style  Keep searching, Keep on searching This search goes on, This search goes on Keep searching, Keep on searching This search goes on, This search goes on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock  I've worn out always being afraid An endless stream of fear that I've made Treading water full of worry This frantic tick tick talk of hurry  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Worn out on always being afraid An endless stream of fear that I've made  You live it or lie it! You live it or lie it!  My lifestyle determines my death style My lifestyle determines my death style  Keep searching, Keep on searching This search goes on, This search goes on Keep searching, Yeah keep on searching This search goes on, on and on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?  My lifestyle (Birth Is Pain) Determines my death style (Life Is Pain) A rising tide (Death Is Pain) That pushes to the other side (It's All The Same)  My lifestyle (Birth Is Pain) Determines my death style (Life Is Pain) A rising tide (Death Is Pain) That pushes to the other side (It's All The Same)  Keep searching, Keep on searching This search goes on, on and on Keep searching, Keep on searching This search goes on, on and on  Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock"
M,The Frayed Ends of Sanity,"Never hunger Never prosper I have fallen prey to failure Struggle within Triggered again Now the candle burns at both ends  Twisting under schizophrenia Falling deep into dementia  Old habits reappear Fighting the fear of fear Growing conspiracy Everyone¡¯s after me Frayed ends of sanity Hear them calling Hear them calling me  Birth of terror Death of much more I¡¯m the slave of fear, my captor Never warnings Spreading its wings As I wait for the horror she brings  Loss of interest, question, wonder Waves of fear they pull me under  Old habits reappear Fighting the fear of fear Growing conspiracy Everyone¡¯s after me Frayed ends of sanity Hear them calling Hear them calling me  Into ruin I am sinking Hostage of this nameless feeling Hell is set free Flooded I¡¯ll be Feel the undertow inside me  Height, hell, time, haste, terror, tension Life, death, want, waste, mass depression  Old habits reappear Fighting the fear of fear Growing conspiracy Myself is after me Frayed ends of sanity Hear them calling Frayed ends of sanity Hear them calling Hear them calling me"
M,Free Speech for the Dumb,"Free speech, free speech for the dumb Free speech, free speech for the dumb Free speech, free speech for the dumb Free fucking speech  Free speech, free speech for the dumb Free speech, free speech for the dumb Free speech, free speech for the dumb Free fucking speech"
M,Frustration,"Frustration In my lexicon of hate I see you with your portraiture Does he love you? Does he love you too?  The brush strokes Kiss your breasts and toes I cry icicles in my stein The heartbeats flutter With an abnormal rhythm  The pain shoots through my body A sword between my thighs I wish that I could kill you But I too love your eyes  You¡¯re feeling less whore but you stimulate The hatred smolders in your eyes I¡¯d drop to my knees in a second To salivate in your thighs  But all I do is fall over I don¡¯t have the strength I once had In you and your prickless lover And his easel in his eyes  I feel the pain creep up my leg Blood runs from my nose I puke my guts out at your feet You¡¯re more man than I To be dead to have no feeling To be dry and spermless like a girl  I want so much to hurt you I want so much to hurt you I want so much to hurt you Marry me I want you as my wife  Spermless like a girl More man than I More man than I  Frustration In my lexicon of hate You¡¯re feeling less like a whore but you Stimulate  All I do is fall over I don¡¯t have the strength I once had All I do is fall over I don¡¯t have the strength I once had  I want you so much to hurt you I want so much to hurt you I want so much to hurt you I want you as a wife  Frustration is my lexicon of hate Frustration is my lexicon of hate Fru¡­ fru¡­ frustration, my lexicon of hate  I cry icicles Heartbeats flutter Abnormal rhythm  I wish that I could kill you But I too love your eyes I want you as my wife I want you as my wife Spermless like a girl  Lucky in feeling More man than I Marry me, marry me, marry me I want you as a wife Spermless like a girl Puking my guts at your feet More man than I Fru¡­ fru¡­ fru¡­ frustration Frustration"
M,Fuel,"Gimme fuel Gimme fire Gimme that which I desire Ooh!  Yeah! Turn on... I see red Adrenaline crash and crack my head Nitro junkie, paint me dead And I see red  One hundred plus through black and white War horse, warhead Fuck 'em man, white-knuckle tight Through black and white  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  So gimme fuel Gimme fire Gimme that which I desire  Ooh  Turn on beyond the bone Swallow future, spit out home Burn your face upon the chrome Yeah!  Take the corner, join the crash Headlights, head on, headlines Another junkie lives too fast Yeah lives way too fast, fast, fast, oohhOH!  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  So gimme fuel Gimme fire Gimme that which I desire  Yeah-heah  White knuckle tight!  Gimme fuel Gimme fire My desire  On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline  Gimme fuel Gimme fire Gimme that which I desire Ooh  On I burn"
M,The God That Failed,"Pride you took Pride you feel Pride that you felt when you'd kneel  Not the word Not the love Not what you thought from above  It feeds It grows It clouds all that you will know Deceit Deceive Decide just what you believe  I see faith in your eyes Never you hear the discouraging lies I hear faith in your cries Broken is the promise, betrayal The healing hand held back by the deepened nail  Follow the god that failed  Find your peace Find your say Find the smooth road on your way  Trust you gave A child to save Left you cold and him in grave  It feeds It grows It clouds all that you will know Deceit Deceive Decide just what you believe  I see faith in your eyes Never you hear the discouraging lies I hear faith in your cries Broken is the promise, betrayal The healing hand held back by the deepened nail  Follow the god that failed  I see faith in your eyes Broken is the promise, betrayal The healing hand held back by the deepened nail  Follow the god that failed  Pride you took Pride you feel Pride that you felt when you'd kneel  Trust you gave A child to save Left you cold and him in grave  I see faith in your eyes Never you hear the discouraging lies I hear faith in your cries Broken is the promise, betrayal The healing hand held back by deepened nail  Follow the god that failed  Follow the god that failed Broken is the promise Betrayal Betrayal Yeah"
M,Halo on Fire,"Obey Obey Come won't you stay Sincere Sincere All ends in tears Endure Endure Thoughts most impure Concede Concede But both shall we bleed  Oh, Halo on fire The midnight knows it well Fast, is desire Creates another hell I fear to turn on the light For the darkness won't go away Fast, is desire Turn out the light Halo on fire  Allure Allure Sweetness obscure Abide Abide Secrets inside Deprive Deprive To feel so alive Obey Obey Just don't turn away  Oh, Halo on fire The midnight knows it well Fast, is desire Creates another hell I fear to turn on the light For the darkness won't go away Fast, is desire Turn out the light Halo on fire  Prayers cannot get through Return to sender Unto which of you Shall I surrender Twisting in disguise Dark resurrection Lighting up the skies Wicked perfection  Too dark to sleep Can't slip away Open or close My eyes betray Beyond the black Come won't you stay  Hello darkness Say goodbye Hello darkness Say goodbye Hello darkness Say goodbye"
M,Hardwired,In the name of desperation In the name of wretched pain In the name of all creation Gone insane  We're so fucked Shit outta luck Hardwired to self-destruct  GO!  On the way to paranoia On the crooked borderline On the way to great destroyer Doom design  We're so fucked Shit outta luck Hardwired to self-destruct  Once upon a planet burning Once upon a flame Once upon a fear returning All in vain  Do you feel that hope is fading? Do you comprehend? Do you feel it terminating? In the end  We're so fucked Shit outta luck Hardwired to self-destruct Hardwired to self-destruct  Self-destruct Self-destruct Self-destruct
M,Harvester of Sorrow,"My life suffocates Planting seeds of hate I¡¯ve loved, turned to hate Trapped far beyond my fate  I give, you take This life that I forsake Been cheated of my youth You turned this lie to truth  Anger Misery You¡¯ll suffer unto me  Harvester of sorrow Language of the mad Harvester of sorrow  Pure black, looking clear My work is done soon here Try getting back to me Get back which used to be  Drink up Shoot in Let the beatings begin Distributor of pain Your loss becomes my gain  Anger Misery You¡¯ll suffer unto me  Harvester of sorrow Language of the mad Harvester of sorrow  All have said their prayers Invade their nightmares To see into my eyes You¡¯ll find where murder lies  Infanticide  Harvester of sorrow Language of the mad Harvester of sorrow Language of the mad  Harvester of sorrow Harvester of sorrow Harvester of sorrow Harvester of sorrow Harvester of sorrow Harvester of sorrow"
M,Hate Train,"Hate is a train That thunders aimless through my head And hate is the fame Chained to the wheel until I am dead Rage is a flame Creates a touch to boil the seas And rage is to blame Forever sorry I shall be And from a darkness I descend Clenching a torch of sweet revenge  No You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand Straight down into the sorrow, but still I stand  Wrath is the name Branding suffer onto you And wrath takes the shame And holds me down until it is through And from a darkness I descend Clenching a torch of sweet revenge  You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand I sink into the sorrow, still I stand  And hate is a train That hungers for the flesh's call And hate takes the blame A beast that never slows at all And from a darkness I descend Clenching a torch of sweet revenge Burst into flame, the bitter end And shake the gates of hell again  Yeah, cursed to drown in sorrow  You took away tomorrow, still I stand I ride into the sorrow, still I stand You took away tomorrow, still I stand You left me here with sorrow, still I stand  Oh, still I stand"
M,Hell and Back,"There is nowhere else I can run to She is wretched but she comforts me After everyone goes home She's always there for me And when the sun goes hellbound And the moon does resurrect the night I'll hide within her Not much good has come out the light  After everyone goes home And I'm left here on my own I will run straight to Hell and back Straight to Hell and back When they turn out all their lights And I'm left to brood at night Always return to Hell and back Straight to Hell and back Straight down  A lonely light in a window Just longing for some company Tragic, heartless and hateful But there's nothing as willing as she And when the night has fallen It falls hard and then it all begins When she starts her calling I feel my darkness growing from within  I become two We become one Unbridled... unequaled... unholy... undone The path is cut deep The path is worn well I'll follow my footsteps to the warmth of Hell The warmth of Hell"
M,Helpless,"I've gotta see you moving fast, see you come my way. See the dreams, I hope they last, never fade away. Gotta see the lights above, make it loud tonight. Gotta set it all afire, set it all alight.  See the flashing lights, hear the thunder roar, I am gonna set you all alight. Gotta make it man, I ain't got a choice, Gotta fill this hall tonight.  Helpless, helpless, helpless, helpless.  I don't know what I'm gonna do, maybe not tonight. Gotta set you all afire, gotta treat you right. I can see the flashing lights, lit before your love. Gotta hear the thunder roar, coming from above.  See the flashing lights, hear the thunder roar, I am gonna set you all alight. Gotta make it man, I ain't got a choice, Gotta fill this hall tonight.  Helpless, helpless, helpless, helpless.  I can see the stars, I can see what's going on. Every night alone I sing my song just for fun. Only time will tell if I'll make it myself someday. This stage is mine, music is my destiny.  Cannot squeeze the life from me.  I can see the stars, I can see what's going on. Every night alone I sing my song just for fun. Only time will tell if I'll make it myself someday. This stage is mine, music is my destiny.  Cannot squeeze the life from me."
M,Here Comes Revenge,"Little grave I'm grieving, I will mend you Sweet revenge I'm dreaming, I will end you  I've been here since dawn of time Countless hatreds built my shrine I was born in anger's flame He was Abel, I was Cain I am here I'm hell unbound Burn your kingdom to the ground To the ground  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  I return this nightmare, I will find you Sleepless, cloaked in despair, I'm behind you  Man has made me oh so strong Blurring lines of right and wrong Far too late for frail amends Now it's come to sweet revenge Desperate hands That lose control Have no mercy on your soul On your soul  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, just set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  Here comes revenge, just for you Revenge, you can't undo Revenge, is killing me Revenge, set me free Eye for an eye, tooth for a tooth A life for a life, it's my burden of proof Revenge, just for you Revenge You ask forgiveness, I give you sweet revenge  Sweet revenge"
M,Hero of the Day,"Mama, they try and break me  The window burns to light the way back home A light that warms no matter where they¡¯ve gone They¡¯re off to find the hero of the day But what if they should fall by someone¡¯s wicked way?  Still the window burns Time so slowly turns And someone there is sighing Keepers of the flames Do you feel your name? Did you hear your babies crying?  Mama, they try and break me Still they try and break me  Excuse me while I tend to how I feel These things return to me that still seem real Now, deservingly, this easy chair But the rocking stopped by wheels of despair  Don¡¯t want your aid But the fist I make For years can¡¯t hold or feel No, I¡¯m not all me So please excuse me while I tend to how I feel  But now the dreams and waking screams That ever last the night So build the wall, behind it crawl And hide until it¡¯s light So can you hear your babies crying now?  Still the window burns Time so slowly turns And someone there is sighing Keepers of the flames Did you feel your names? Did you hear your babies crying?  But now the dreams and waking screams That ever last the night So build a wall, behind it crawl And hide until it¡¯s light So can¡¯t you hear your babies crying now?  Mama, they try and break me Mama, they try and break me Mama they try Mama they try"
M,Hit the Lights,No life till leather We are gonna kick some ass tonight We got the metal madness When our fans start screaming It's right well alright When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights  We know our fans are insane We are gonna blow this place away With volume higher Than anything today the only way When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights  With all our screaming We are gonna rip right through your brain We got the lethal power It is causing you sweet pain Oh sweet pain When we start to rock We never want to stop again  Hit the lights Hit the lights Hit the lights Hit the lights
M,Holier Than Thou,"No more! The crap rolls out your mouth again Haven't changed, your brain is still gelatin Little whispers circle around your head Why don't you worry about yourself instead  Who are you? Where ya been? Where ya from? Gossip is burning on the tip of your tongue You lie so much you believe yourself Judge not lest ye be judged yourself  Holier than thou You are Holier than thou You are  You know not  Before you judge me take a look at you Can't you find something better to do Point the finger, slow to understand Arrogance and ignorance go hand in hand  It's not who you are it's who you know Others lives are the basis of your own Burn your bridges build them back with wealth Judge not lest ye be judged yourself  Holier than thou You are Holier than thou You are  You know not  Yeah Who the hell are you?  Hey you  Holier than thou You are Holier than thou You are  You know not Know not"
M,The House Jack Built,"Open door, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin  Open my eyes just to have them close again Well on my way, but on my way to where I¡¯ve been It swallows me as it takes me in its fog I twist away as I give this world the nod  Open door, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin  Open my eyes just to have them closed once again Don¡¯t want control As it takes me down and down and down again Is that the moon or just a light that lights this dead-end street? Is that you there or just another demon that I meet?  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Step into the house that Jack built  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, this is the house that Jack built  Open door, yes, I walk inside Swallow me so the pain subsides And I shake as I take the sin Let the show begin  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, this is the house that Jack built  The higher you are The farther you fall The longer the walk The farther you crawl My body, my temple This temple, it tilts Yes, I am, I am, I am  Open my eyes It swallows me Is that you there I twist away Away Away Away"
M,I Disappear,"Hey Hey Hey Here I go now Here I go into new days Hey Hey Hey Here I go now Here I go into new days  I'm pain, I'm hope, I'm suffer Yeah Hey Hey Hey Yeah Yeah Here I go into new days  Hey Hey Hey Ain't no mercy Ain't no mercy there for me Hey Hey Hey Ain't no mercy Ain't no mercy there for me  I'm pain, I'm hope, I'm suffer Yeah Yeah Hey, Hey no mercy Ain't no mercy there for me  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Hey Hey Hey And I went And I went on down that road Hey Hey Hey And I went on And I went on down that road  I'm pain, I'm hope, I'm suffer Hey Hey Hey Yeah, And I went on And I went on down that road  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear  Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear"
M,Iced Honey,"You can't put a butterfly in a jar If the effort's too high no matter who you are You can't catch the moon, or the sun or the stars It doesn't matter who you are Iced honey  Now me I've tried a million tricks To make life cold and make it stick Not running heat that flames then out But the proud piece of ice that always floats Iced honey  If I can't trap a butterfly or a bee If I can't keep my heart where I want it to be If no matter how much soul and heart I put to the wood If a flaming heart is not that good Iced honey  If you can't put a butterfly in a jar If violence mars your final hour If you make others feel like jam Poured on a piece of charbroiled lamb  If it's all mixed up and you cannot shout And your oxygen starts to run out If your final gasp has the recipe wrong And instead of hello you say so long  If your energy starts to leak out And people wonder what you're all about A heartbreaker with an unattached heart The story of love gives them all a start  And me, I've always been this way Not by choice, just this way I can't put my honey pot in a jar Or a heart or a fist of some young boy  If you can't put a butterfly in a jar No wonder no need to wonder where you are It might seem like Hell, the river Styx Your affection never sticks  No matter what you say, no matter what you do A butterfly heart flies right past you There's nothing to say, nothing to do See if the ice will melt for you Iced honey"
M,Invisible Kid,"Invisible kid Never see what he did Got stuck where he hid Fallen through the grid  Invisible kid Got a place of his own Where he¡¯ll never be known Inward he¡¯s grown  Invisible kid Locked away in his brain From the shame and the pain World down the drain  Invisible kid Suspicious of your touch Don¡¯t want no crutch But it¡¯s all too much  I hide inside I hurt inside I hide inside, but I¡¯ll show you...  I¡¯m OK, just go away Into the distance let me fade I¡¯m OK, just go away I¡¯m OK, but please don¡¯t stray too far  Open up your heart I¡¯m beating right here Open your mind I¡¯m being right here, right now Open your heart I¡¯m beating right here Open your mind I¡¯m being right here, right now  Ooh, what a good boy you are Out of the way and you¡¯re kept to yourself Ooh, can¡¯t you see that he¡¯s not here He doesn¡¯t want the attention you give Ooh, unplugging from it all Invisible kid floats alone in his room Ooh, what a quiet boy you are He looks so calm floating ¡®round and ¡®round in himself"
M,It's Electric,I'm gonna be a rock and roll star Gotta groove from night to day Gotta blow my crummy job Gonna blow my blues away I'm gonna make a stand Gonna make a million Gonna make it with you I'm gonna be wild my friend I gotta push it through  It's electric It's electric It's electric It's electric  I stop on red and I leave on amber Danger paves my way I'm gonna make it my friend Gonna make it today Gonna kick this dust from my heels Down the highway I go Gonna get the stars from my route Make it in a rock and roll show  It's electric It's electric It's electric It's electric  I stop on red and I leave on amber Danger paves my way I'm gonna make it my friend Gonna make it today Gonna kick this dust from my heels Down the highway I go Gonna get the stars from my route Make it in a rock and roll show  It's electric It's electric It's electric It's electric It's electric It's electric
M,The Judas Kiss,When the world has turned its back When the days have turned pitch black When the fear abducts your tongue When the fire's dead and gone  So what now? Where go I?  When you think it's all said and done When you are the ostracized Selfish ridden dead goodbyes Twisting of the tourniquet When the pieces never fit  So what now? Where go I?  When you think it's all said and done  Bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss  When the storm has blacked your sky Intuition crucify When the ego strips your reign Assassinate the living flame  So what now? Where go I?  When you think it's all said and done Venom of a life insane Bites into your fragile veins Internalize and decimate Patronize and complicate  So what now? Where go I?  When you think it's all said and done  Bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss  Judas lives recite this vow I've become your new god now  Follow you from dawn of time Whisper thoughts into your mind Watched your towers hit the ground Lured the children never found Helped your kings abuse their crown  In the heart of evil man Plant the seeds of my own plan Strong and powerful will fall Find a piece of me in all Inside you all  So bow down Sell your soul to me I will set you free Pacify your demons  Bow down Surrender unto me Submit infectiously Sanctify your demons  Into abyss You don't exist Cannot resist The Judas kiss
M,Jump in the Fire,Down in the depths of my fiery home The summons bell will chime Tempting you and all the earth to join our sinful kind There is a job to be done and I'm the one You people make me do it Now it is time for your fate and I won't hesitate to pull you down into this pit  So come on Jump in the Fire So come on Jump in the Fire  With hell in my eyes and with death in my veins The end is closing in Feeding on the minds of man and from their souls within My disciples all shout to search you out And they always shall obey Follow me now my child not the meek or the mild But do just as I say  So come on Jump in the Fire So come on Jump in the Fire  Jump by your will or be taken by force I'll get you either way Trying to keep the hellfire lit I am stalking you as prey Living your life as me I am you you see There is part of me in everyone So reach down grab my hand walk with me through the land Come home where you belong  So come on Jump in the Fire So come on Jump in the Fire
M,Junior Dad,"Would you come to me If I was half drowning An arm above the last wave  Would you come to me Would you pull me up Would the effort really hurt you Is it unfair to ask you To help pull me up  The window broke the silence of the matches The smoke effortlessly floating  Pull me up Would you be my lord and savior Pull me up by my hair Now would you kiss me, on my lips  Burning fever burning on my forehead The brain that once was listening now Shoots out its tiresome message  Won¡¯t you pull me up Scalding, my dead father Has the motor and he¡¯s driving towards An island of lost souls  Sunny, a monkey then to monkey I will teach you meanness, fear and blindness No social redeeming kindness Or ¨C oh, state of grace  Would you pull me up Would you drop the mental bullet Would you pull me by the arm up Would you still kiss my lips Hiccup, the dream is over Get the coffee, turn the lights on Say hello to junior dad The greatest disappointment Age withered him and changed him Into junior dad Psychic savagery  The greatest disappointment The greatest disappointment Age withered him and changed him Into junior dad"
